Obs,sampleno,month,day,year,metal,type,siteno,conc1,conc,MDL
1,103,December,7,2018,Al,F,1,BDL,4.708557559,9.417115118
2,104,December,7,2018,Al,F,2,BDL,4.708557559,9.417115118
3,106,December,7,2018,Al,F,3,BDL,4.708557559,9.417115118
4,107,December,7,2018,Al,F,4,BDL,4.708557559,9.417115118
5,108,December,7,2018,Al,F,5,BDL,4.708557559,9.417115118
6,109,December,7,2018,Al,F,6,BDL,4.708557559,9.417115118
7,111,December,7,2018,Al,F,7,BDL,4.708557559,9.417115118
8,112,December,7,2018,Al,F,8,BDL,4.708557559,9.417115118
9,113,December,7,2018,Al,F,9,BDL,4.708557559,9.417115118
10,114,December,7,2018,Al,F,10,BDL,4.708557559,9.417115118
11,115,December,7,2018,Al,F,11,BDL,4.708557559,9.417115118
12,117,December,7,2018,Al,F,12,24.5,24.5,9.417115118
13,118,December,7,2018,Al,F,13,BDL,4.708557559,9.417115118
14,1,December,7,2018,Al,W,1,44.78,44.78,9.417115118
15,3,December,7,2018,Al,W,2,BDL,4.708557559,9.417115118
16,4,December,7,2018,Al,W,3,BDL,4.708557559,9.417115118
17,5,December,7,2018,Al,W,4,83.2,83.2,9.417115118
18,7,December,7,2018,Al,W,5,139.6666667,139.6666667,9.417115118
19,8,December,7,2018,Al,W,6,290.58,290.58,9.417115118
20,9,December,7,2018,Al,W,7,282.84,282.84,9.417115118
21,10,December,7,2018,Al,W,8,955.6,955.6,9.417115118
22,11,December,7,2018,Al,W,9,254.68,254.68,9.417115118
23,12,December,7,2018,Al,W,10,357.4,357.4,9.417115118
24,14,December,7,2018,Al,W,11,264.06,264.06,9.417115118
25,15,December,7,2018,Al,W,12,319.28,319.28,9.417115118
26,16,December,7,2018,Al,W,13,81.88,81.88,9.417115118
27,103,December,7,2018,As,F,1,10.96,10.96,0.026992062
28,104,December,7,2018,As,F,2,11.38095238,11.38095238,0.026992062
29,106,December,7,2018,As,F,3,10.18,10.18,0.026992062
30,107,December,7,2018,As,F,4,8.88,8.88,0.026992062
31,108,December,7,2018,As,F,5,9.62,9.62,0.026992062
32,109,December,7,2018,As,F,6,9,9,0.026992062
33,111,December,7,2018,As,F,7,9.22,9.22,0.026992062
34,112,December,7,2018,As,F,8,9.92,9.92,0.026992062
35,113,December,7,2018,As,F,9,8.96,8.96,0.026992062
36,114,December,7,2018,As,F,10,9.18,9.18,0.026992062
37,115,December,7,2018,As,F,11,9.4,9.4,0.026992062
38,117,December,7,2018,As,F,12,7.4,7.4,0.026992062
39,118,December,7,2018,As,F,13,5.047619048,5.047619048,0.026992062
40,1,December,7,2018,As,W,1,10.84,10.84,0.026992062
41,3,December,7,2018,As,W,2,10.13636364,10.13636364,0.026992062
42,4,December,7,2018,As,W,3,9.090909091,9.090909091,0.026992062
43,5,December,7,2018,As,W,4,9.42,9.42,0.026992062
44,7,December,7,2018,As,W,5,8.484848485,8.484848485,0.026992062
45,8,December,7,2018,As,W,6,9.34,9.34,0.026992062
46,9,December,7,2018,As,W,7,8.32,8.32,0.026992062
47,10,December,7,2018,As,W,8,9.28,9.28,0.026992062
48,11,December,7,2018,As,W,9,8.98,8.98,0.026992062
49,12,December,7,2018,As,W,10,8.32,8.32,0.026992062
50,14,December,7,2018,As,W,11,9.26,9.26,0.026992062
51,15,December,7,2018,As,W,12,6.78,6.78,0.026992062
52,16,December,7,2018,As,W,13,4.9,4.9,0.026992062
53,103,December,7,2018,Cd,F,1,0.08,0.08,0.011338934
54,104,December,7,2018,Cd,F,2,0.095238095,0.095238095,0.011338934
55,106,December,7,2018,Cd,F,3,0.08,0.08,0.011338934
56,107,December,7,2018,Cd,F,4,0.06,0.06,0.011338934
57,108,December,7,2018,Cd,F,5,0.06,0.06,0.011338934
58,109,December,7,2018,Cd,F,6,0.08,0.08,0.011338934
59,111,December,7,2018,Cd,F,7,0.08,0.08,0.011338934
60,112,December,7,2018,Cd,F,8,0.08,0.08,0.011338934
61,113,December,7,2018,Cd,F,9,0.06,0.06,0.011338934
62,114,December,7,2018,Cd,F,10,0.06,0.06,0.011338934
63,115,December,7,2018,Cd,F,11,0.06,0.06,0.011338934
64,117,December,7,2018,Cd,F,12,0.04,0.04,0.011338934
65,118,December,7,2018,Cd,F,13,BDL,0.005669467,0.011338934
66,1,December,7,2018,Cd,W,1,0.12,0.12,0.011338934
67,3,December,7,2018,Cd,W,2,0.090909091,0.090909091,0.011338934
68,4,December,7,2018,Cd,W,3,BDL,0.005669467,0.011338934
69,5,December,7,2018,Cd,W,4,0.06,0.06,0.011338934
70,7,December,7,2018,Cd,W,5,0.090909091,0.090909091,0.011338934
71,8,December,7,2018,Cd,W,6,0.12,0.12,0.011338934
72,9,December,7,2018,Cd,W,7,0.08,0.08,0.011338934
73,10,December,7,2018,Cd,W,8,0.08,0.08,0.011338934
74,11,December,7,2018,Cd,W,9,0.1,0.1,0.011338934
75,12,December,7,2018,Cd,W,10,0.06,0.06,0.011338934
76,14,December,7,2018,Cd,W,11,0.08,0.08,0.011338934
77,15,December,7,2018,Cd,W,12,0.08,0.08,0.011338934
78,16,December,7,2018,Cd,W,13,0.04,0.04,0.011338934
79,103,December,7,2018,Co,F,1,0.32,0.32,0.01
80,104,December,7,2018,Co,F,2,0.285714286,0.285714286,0.01
81,106,December,7,2018,Co,F,3,0.32,0.32,0.01
82,107,December,7,2018,Co,F,4,0.26,0.26,0.01
83,108,December,7,2018,Co,F,5,0.3,0.3,0.01
84,109,December,7,2018,Co,F,6,0.26,0.26,0.01
85,111,December,7,2018,Co,F,7,0.24,0.24,0.01
86,112,December,7,2018,Co,F,8,0.26,0.26,0.01
87,113,December,7,2018,Co,F,9,0.24,0.24,0.01
88,114,December,7,2018,Co,F,10,0.24,0.24,0.01
89,115,December,7,2018,Co,F,11,0.24,0.24,0.01
90,117,December,7,2018,Co,F,12,0.18,0.18,0.01
91,118,December,7,2018,Co,F,13,0.095238095,0.095238095,0.01
92,1,December,7,2018,Co,W,1,0.36,0.36,0.01
93,3,December,7,2018,Co,W,2,0.318181818,0.318181818,0.01
94,4,December,7,2018,Co,W,3,0.272727273,0.272727273,0.01
95,5,December,7,2018,Co,W,4,0.3,0.3,0.01
96,7,December,7,2018,Co,W,5,0.272727273,0.272727273,0.01
